Lantakerroin-eläinlista;;;Eläinyksikkö-eläinlista;Lantakerroin-eläinlista;
Ankka, Hanhi 2;;;Lypsylehmä;Lypsylehmä (8500 kg) 1;
Broileri 2;;;Emolehmä;Emolehmä;
Emakko ja porsaat 4;;;Hieho (12-24 kk);Hieho;
Emakko ja porsaat satelliittisikalassa 5;;;Lihanauta (sonni 12-24 kk);Lihanauta, Sonni;
Emolehmä;;;Siitossonni (sonni > 2v);Lihanauta, Sonni;
Hevonen > 150 cm;;;Vasikka (6-12 kk);Sonnivasikka 6-12 kk;Lehmävasikka 6-12 kk
Hieho;;;Vasikka (< 6 kk);Sonnivasikka < 6 kk;Lehmävasikka < 6 kk
Joutilas emakko;;;Emakko porsaineen;Emakko ja porsaat 4;
Kalkkuna 2;;;Lihasika*;Lihasika 2, 3;
Karitsat ja kilit 3-9 kk 7;;;Karju;Karju (täysikasvuinen);
Karitsat ja kilit 6-9 kk 7;;;Joutilas emakko ydinsikalassa;Emakko ja porsaat satelliittisikalassa 5;
Karju (täysikasvuinen);;;Vieroitettu porsas (5-11 vk, jos tilalla ei ole emakoita);Vieroitettu porsas 6;
Kettu, Supi;;;Hevonen 2 v ->;Hevonen > 150 cm;
Lampaat ja karitsat;;;Poni** 2 v ->, hevonen 1 v;Poni 120-150 cm;
Lehmävasikka < 6 kk;;;Pienponi 2 v, poni 1 v, hevonen < 1 v;Pienponi < 120 cm;
Lehmävasikka 6-12 kk;;;Pienponi 1-2 v, poni < 1 v;Pienponi < 120 cm;
Lihanauta, Sonni;;;Pienponi < 1 v;Pienponi < 120 cm;
Lihasika 2, 3;;;Lammas (uuhi karitsoineen);Lampaat ja karitsat;
Lypsylehmä (8500 kg) 1;;;Vuohi (kuttu kileineen, pukki);Vuohet ja kilit;
Minkki, Hilleri;;;Munituskana;Munituskana, Broileriemo;
Munituskana, Broileriemo;;;Broileriemo;Munituskana, Broileriemo;
Pienponi < 120 cm;;;Kukko;;
Poni 120-150 cm;;;Emokalkkuna;Kalkkuna 2;
Sonnivasikka < 6 kk;;;Lihakalkkuna*;Kalkkuna 2;
Sonnivasikka 6-12 kk;;;Broileri*;Broileri 2;
Sorsa 2;;;Kananuorikko*;;
Vieroitettu porsas 6;;;Emoankka, liha-ankka, emohanhi, lihahanhi, emofasaani, lihafasaani*;Ankka, Hanhi 2;
Vuohet ja kilit;;;Emosorsa, lihasorsa*;Sorsa 2;
;;;Viiriäinen, helmikana;;
;;;Kaninaaras poikasineen***;;
;;;Strutsi;;
;;;Biisoni;;
;;;Villisika;;
;;;Minkki ja hilleri, siitosnaaras pentuineen;Minkki, Hilleri;
;;;Minkki ja hilleri, pentu;Minkki, Hilleri;
;;;Minkki ja hilleri, siitosuros;Minkki, Hilleri;
;;;Kettu ja supi, siitosnaaras pentuineen;Kettu, Supi;
;;;Kettu ja supi, pentu;Kettu, Supi;
;;;Kettu ja supi, siitosuros;Kettu, Supi;
